height,sex,weight,age,experience,exercise frequency per week,reps,bench,curl,squat,pulldown,row,pushdown,toe,shoulder,rdl
85,True,299.27738264580364,50,0.5,8,15,45,15,65,25,50,15,60,15,25
71,True,156.6080227596017,43,1,7,15,50,15,55,25,45,15,55,15,30
83,False,277.7158748221906,29,0.5,4,5,35,10,35,25,25,10,35,10,25
58,False,103.26475106685633,25,1.5,2,5,55,20,75,40,60,20,75,20,45
75,True,178.9118065433855,36,1.5,4,10,90,30,120,65,90,30,120,30,55
62,False,143.5895305832148,46,1.5,6,5,95,30,125,65,90,30,120,30,65
85,False,235.1465149359886,61,1,5,5,60,20,75,45,60,20,75,20,40
84,True,271.40005689900426,79,1,7,15,80,25,95,50,80,25,105,25,50
75,False,210.11735419630156,38,1,5,5,65,20,85,40,60,20,85,20,40
48,False,85.21194879089617,75,1.5,8,10,60,20,80,40,60,20,80,20,45
48,False,68.16955903271692,19,1,6,5,30,10,45,25,30,10,40,10,20
74,False,224.8042105263158,50,0.5,7,5,30,10,45,20,35,10,45,10,20
50,True,76.7425320056899,31,0.5,8,15,20,5,20,10,15,5,15,5,5
49,False,94.12739687055476,26,1,3,5,50,15,55,35,40,15,60,15,35
51,True,89.46256045519203,19,1.5,8,5,55,20,85,35,60,20,75,20,45
75,True,239.2425320056899,34,1.5,1,10,125,40,165,80,120,40,155,40,80
81,True,230.52162162162165,67,0.5,1,10,25,10,40,15,35,10,40,10,20
67,False,134.47843527738266,59,1,2,5,45,15,60,30,50,15,60,15,25
56,False,115.98293029871978,62,1.5,5,10,70,25,95,45,75,25,105,25,45
68,False,172.7258036984353,61,1,3,10,55,20,75,45,65,20,85,20,45
70,True,175.78662873399713,32,1.5,8,15,85,30,115,60,95,30,125,30,55
56,True,96.26583214793742,80,1.5,5,10,60,20,80,40,60,20,80,20,35
73,False,210.88588904694166,48,1.5,2,10,110,35,145,70,110,35,145,35,70
58,True,130.63613086770982,20,1.5,5,5,70,25,95,55,80,25,95,25,45
81,True,213.53581792318633,18,1.5,2,10,90,30,115,65,90,30,115,30,55
53,True,87.26679943100997,44,1.5,7,15,65,20,80,35,60,20,85,20,45
81,True,201.40310099573256,49,1,4,10,65,20,80,35,60,20,80,20,35
70,False,206.5945945945946,65,1,4,5,70,25,105,55,80,25,105,25,45
58,False,106.9972119487909,48,1,1,15,40,15,55,35,50,15,65,15,30
64,True,180.27061166429587,40,1.5,3,15,105,35,145,70,110,35,140,35,65
70,True,163.10099573257466,78,0.5,7,10,30,10,40,20,25,10,35,10,20
80,True,248.5348506401138,29,1.5,3,5,125,40,165,80,125,40,160,40,85
64,True,128.7647226173542,19,0.5,4,15,20,5,15,10,15,5,15,5,15
56,True,126.42139402560457,68,1.5,8,5,70,25,105,50,70,25,95,25,50
77,True,258.75066856330017,54,1,4,10,75,25,95,50,80,25,95,25,45
72,True,182.14054054054054,26,1.5,7,15,95,30,125,60,90,30,120,30,65
82,True,206.40671408250356,55,1.5,2,5,95,30,125,60,95,30,125,30,60
85,False,285.91678520625885,65,1.5,2,5,115,40,165,75,120,40,165,40,75
